DestinationID,DestinationName,Location,latitude,longitude,imageURLs
sk1,Skardu,Gilgit Baltistan,35.2918,75.6835,https://peoplemagazine.com.pk/wp-content/uploads/2021/07/skardu-9-960x640.jpg
hu1,Hunza,Gilgit Baltistan,36.3167,74.65,https://cf.bstatic.com/xdata/images/hotel/max1024x768/296170672.jpg?k=2c006f110594a1764ceb1e713b16aeab4c55b92b4c80e4bc8694dea192f74cab&o=&hp=1
na1,Naran,Khyber Pakhtunkhwa,34.9061,73.6558,https://www.nation.com.pk/print_images/large/2022-01-16/winter-tourism-shines-in-kp-as-naran-kaghan-attract-snowfall-lovers-1642356370-3538.jpg
sw1,Swat valley,Khyber Pakhtunkhwa,35.222,72.4258,https://www.visitswatvalley.com/images/visit-lake-in-swat.jpg
